attr0,attr1,attr2
0,20.0,26.0
1,25.0,12.0
2,21.0,24.0
3,13.0,31.0
4,32.0,28.0
5,,12.0
6,10.0,21.0
7,13.0,30.0
8,17.0,17.0
9,17.0,25.0
10,20.0,22.0
11,12.0,16.0
12,36.0,8.0
13,13.0,22.0
14,32.0,2.0
15,8.0,22.0
16,,
17,1.0,31.0
18,15.0,24.0
19,31.0,23.0
20,14.0,23.0
21,,32.0
22,17.0,
23,27.0,17.0
24,27.0,26.0
25,9.0,29.0
26,32.0,8.0
27,26.0,20.0
28,,29.0
29,21.0,9.0
30,29.0,39.0
31,33.0,19.0
32,,13.0
33,22.0,46.0
34,1.0,38.0
35,,39.0
36,48.0,27.0
37,25.0,38.0
38,,23.0
39,16.0,19.0
40,20.0,29.0
41,31.0,30.0
42,31.0,31.0
43,19.0,32.0
44,30.0,24.0
45,3.0,9.0
46,14.0,39.0
47,38.0,34.0
48,,24.0
49,21.0,15.0
50,27.0,19.0
51,,18.0
52,48.0,19.0
53,31.0,25.0
54,26.0,20.0
55,13.0,30.0
56,7.0,34.0
57,,21.0
58,15.0,25.0
59,22.0,36.0
60,15.0,27.0
61,,33.0
62,,41.0
63,18.0,23.0
64,28.0,40.0
65,,17.0
66,8.0,13.0
67,25.0,22.0
68,9.0,21.0
69,18.0,
70,37.0,26.0
71,,37.0
72,34.0,
73,27.0,3.0
74,38.0,25.0
75,42.0,17.0
76,24.0,31.0
77,18.0,24.0
78,35.0,
79,,14.0
80,15.0,11.0
81,36.0,19.0
82,33.0,36.0
83,34.0,41.0
84,33.0,28.0
85,31.0,12.0
86,29.0,22.0
87,,22.0
88,33.0,42.0
89,35.0,1.0
90,37.0,28.0
91,,13.0
92,25.0,3.0
93,13.0,37.0
94,26.0,
95,16.0,11.0
96,35.0,16.0
97,30.0,
98,10.0,24.0
99,,
