attr0,attr1,attr2
0,19.0,2.0
1,19.0,15.0
2,23.0,27.0
3,32.0,24.0
4,27.0,27.0
5,28.0,30.0
6,16.0,1.0
7,33.0,37.0
8,39.0,25.0
9,31.0,14.0
10,17.0,43.0
11,,22.0
12,27.0,33.0
13,35.0,20.0
14,,
15,34.0,21.0
16,18.0,
17,19.0,31.0
18,21.0,14.0
19,24.0,
20,40.0,32.0
21,16.0,23.0
22,43.0,19.0
23,13.0,16.0
24,24.0,16.0
25,11.0,31.0
26,27.0,16.0
27,4.0,24.0
28,18.0,28.0
29,24.0,37.0
30,,32.0
31,26.0,36.0
32,27.0,35.0
33,23.0,40.0
34,28.0,46.0
35,31.0,10.0
36,,23.0
37,19.0,10.0
38,,6.0
39,25.0,23.0
40,25.0,18.0
41,25.0,38.0
42,16.0,34.0
43,16.0,42.0
44,28.0,25.0
45,29.0,18.0
46,,11.0
47,,
48,,22.0
49,9.0,35.0
50,20.0,26.0
51,25.0,12.0
52,21.0,24.0
53,13.0,31.0
54,32.0,28.0
55,,12.0
56,10.0,21.0
57,13.0,30.0
58,17.0,17.0
59,17.0,25.0
60,20.0,22.0
61,12.0,16.0
62,36.0,8.0
63,13.0,22.0
64,32.0,2.0
65,8.0,22.0
66,,
67,1.0,31.0
68,15.0,24.0
69,31.0,23.0
70,14.0,23.0
71,,32.0
72,17.0,
73,27.0,17.0
74,27.0,26.0
75,9.0,29.0
76,32.0,8.0
77,26.0,20.0
78,,29.0
79,21.0,9.0
80,29.0,39.0
81,33.0,19.0
82,,13.0
83,22.0,46.0
84,1.0,38.0
85,,39.0
86,48.0,27.0
87,25.0,38.0
88,,23.0
89,16.0,19.0
90,20.0,29.0
91,31.0,30.0
92,31.0,31.0
93,19.0,32.0
94,30.0,24.0
95,3.0,9.0
96,14.0,39.0
97,38.0,34.0
98,,24.0
99,21.0,15.0
